revenue,costs,ebitda,cash_flow,debt,equity,risk_level,explanation_type,human_summary,recommended_action
2169,2105,-261,-180,1152,146,CRITICAL,CRITICAL_SOLVENCY_RISK,"The financial structure appears fragile, with debt pressure and weak earnings limiting the company’s capacity to absorb shocks.",Suspend non-essential investments and prepare a formal recovery plan focused on solvency stabilization.
4372,3281,954,777,1289,473,HIGH,HIGH_LEVERAGE_PRESSURE,High debt-to-equity creates a risk that operational volatility could quickly translate into solvency pressure.,Model downside scenarios and negotiate financing terms before liquidity conditions deteriorate.
5771,3971,858,402,2960,573,HIGH,HIGH_LEVERAGE_PRESSURE,"The capital structure is under pressure, with leverage indicating a material dependence on external financing.",Reduce discretionary investments and prioritize debt reduction through retained cash flow or asset optimization.
5328,4159,1149,-791,934,1368,CRITICAL,EBITDA_POSITIVE_CASH_NEGATIVE,"The company is producing operating earnings, but the negative cash flow profile raises concerns about earnings quality and funding needs.","Assess whether EBITDA is being absorbed by working capital, financing costs, or investment commitments."
2949,3436,-395,-166,1222,1260,CRITICAL,COSTS_EXCEED_REVENUE,"Costs exceed revenue, meaning the company is structurally spending more than it generates from its operating activity.","Launch an immediate cost review, identify non-essential expenses, and redesign pricing or revenue generation assumptions."
4799,4155,-456,-78,388,359,CRITICAL,OPERATING_LOSS,"The business is generating operating losses, making liquidity and cost discipline immediate priorities.",Rebuild the budget using conservative revenue assumptions and implement strict expense controls.
1592,870,342,301,413,677,LOW,STABLE_FINANCIAL_PROFILE,"The company shows a solid operating profile, with healthy EBITDA generation and positive cash flow supporting day-to-day liquidity.","Maintain the current operating discipline, monitor margin stability, and consider moderate growth investment if cash generation remains consistent."
1396,897,229,77,868,1518,HIGH,WEAK_CASH_CONVERSION,"Although operating profitability is positive, the low cash conversion suggests that earnings quality should be reviewed carefully.",Prepare a cash bridge analysis and prioritize actions that accelerate collections or reduce cash tied up in operations.
5159,3041,775,-260,1074,1108,HIGH,EARNINGS_QUALITY_CONCERN,"The company shows a mismatch between accounting profitability and cash performance, requiring deeper analytical review.","Build an earnings quality report comparing EBITDA, operating cash flow, and working capital movements over time."
3973,4372,-701,-25,1497,736,HIGH,COSTS_EXCEED_REVENUE,"The cost base is above total revenue, creating an unsustainable operating structure unless corrective action is taken.","Implement a cost reduction program and reassess product margins, supplier contracts, and commercial pricing."
5945,3983,211,-122,1064,484,HIGH,LIQUIDITY_STRESS,"Cash flow is materially weak relative to revenue, suggesting that the company may face short-term liquidity stress.",Create a 13-week cash forecast and identify immediate actions to improve inflows and delay non-critical outflows.
5966,4749,587,501,1197,394,CRITICAL,HIGH_LEVERAGE_PRESSURE,"The company shows excessive leverage relative to equity, increasing sensitivity to interest costs and refinancing conditions.","Prepare a deleveraging plan, limit additional borrowing, and evaluate equity reinforcement or debt restructuring options."
3409,3377,-149,-317,2067,413,CRITICAL,CRITICAL_SOLVENCY_RISK,"The company combines weak operating performance with very high leverage, creating a critical solvency risk profile.","Start an urgent restructuring review, including debt renegotiation, equity injection, and cash preservation measures."
4943,5799,-600,-275,1082,797,CRITICAL,COSTS_EXCEED_REVENUE,The company faces a negative operating spread because expenses are higher than revenue.,Prioritize margin recovery through cost containment and revenue mix optimization.
2090,2586,-175,-283,996,1672,HIGH,COSTS_EXCEED_REVENUE,The company faces a negative operating spread because expenses are higher than revenue.,Prioritize margin recovery through cost containment and revenue mix optimization.
4645,3046,860,-94,439,438,MEDIUM,EBITDA_POSITIVE_CASH_NEGATIVE,"The company generates positive EBITDA but negative cash flow, suggesting that operating profit is not translating into liquidity.","Investigate working capital movements, capex timing, and debt service requirements to explain the cash drain."
6255,4236,1180,978,2856,539,HIGH,HIGH_LEVERAGE_PRESSURE,"The capital structure is under pressure, with leverage indicating a material dependence on external financing.",Reduce discretionary investments and prioritize debt reduction through retained cash flow or asset optimization.
4052,2584,1010,241,3249,2766,MEDIUM,WEAK_CASH_CONVERSION,"The company reports positive EBITDA, but cash generation is weak compared with operating earnings, which may indicate working capital pressure.","Review receivables collection, inventory turnover, and payment cycles to identify why accounting earnings are not converting into cash."
4589,3437,1022,308,2019,1480,HIGH,EARNINGS_QUALITY_CONCERN,The gap between EBITDA and cash flow raises concerns about earnings quality and the sustainability of reported performance.,"Reconcile EBITDA to operating cash flow and investigate recurring adjustments, working capital absorption, and non-cash effects."
1734,1916,73,-291,1535,205,CRITICAL,CRITICAL_SOLVENCY_RISK,"The financial structure appears fragile, with debt pressure and weak earnings limiting the company’s capacity to absorb shocks.",Suspend non-essential investments and prepare a formal recovery plan focused on solvency stabilization.
5874,4756,699,-152,2141,2198,HIGH,LIQUIDITY_STRESS,"The financial data points to liquidity stress, even if some operating indicators may still look acceptable.",Implement weekly liquidity reporting and define minimum cash thresholds for management action.
2984,3588,-288,-515,4399,683,CRITICAL,CRITICAL_SOLVENCY_RISK,"The company presents a high probability of financial distress due to the combination of leverage, weak margins, and poor cash generation.","Prioritize creditor negotiations, liquidity protection, and a revised operating plan with strict milestones."
1712,781,349,300,527,919,LOW,STABLE_FINANCIAL_PROFILE,"The company shows a solid operating profile, with healthy EBITDA generation and positive cash flow supporting day-to-day liquidity.","Maintain the current operating discipline, monitor margin stability, and consider moderate growth investment if cash generation remains consistent."
2152,1368,303,110,3277,2672,HIGH,WEAK_CASH_CONVERSION,"The business is profitable on an EBITDA basis, yet cash generation is not keeping pace with earnings.",Strengthen working capital controls and build a monthly cash conversion dashboard for management review.
2459,1405,505,94,1790,2183,MEDIUM,WEAK_CASH_CONVERSION,"The company reports positive EBITDA, but cash generation is weak compared with operating earnings, which may indicate working capital pressure.","Review receivables collection, inventory turnover, and payment cycles to identify why accounting earnings are not converting into cash."
5594,3090,514,435,3028,1125,HIGH,HIGH_LEVERAGE_PRESSURE,"The capital structure is under pressure, with leverage indicating a material dependence on external financing.",Reduce discretionary investments and prioritize debt reduction through retained cash flow or asset optimization.
3648,2006,969,-10,2702,2722,MEDIUM,EARNINGS_QUALITY_CONCERN,"Reported earnings appear stronger than cash generation, which may indicate that profitability is not fully supported by liquidity.","Review revenue recognition, customer collection patterns, and the quality of EBITDA adjustments."
3033,1920,451,-111,2497,1324,HIGH,LIQUIDITY_STRESS,"The financial data points to liquidity stress, even if some operating indicators may still look acceptable.",Implement weekly liquidity reporting and define minimum cash thresholds for management action.
4325,5285,-766,-536,4389,2047,CRITICAL,COSTS_EXCEED_REVENUE,"The cost base is above total revenue, creating an unsustainable operating structure unless corrective action is taken.","Implement a cost reduction program and reassess product margins, supplier contracts, and commercial pricing."
3455,2976,-289,-226,2904,599,CRITICAL,CRITICAL_SOLVENCY_RISK,"The financial structure appears fragile, with debt pressure and weak earnings limiting the company’s capacity to absorb shocks.",Suspend non-essential investments and prepare a formal recovery plan focused on solvency stabilization.
2462,1711,584,272,2943,810,CRITICAL,HIGH_LEVERAGE_PRESSURE,High debt-to-equity creates a risk that operational volatility could quickly translate into solvency pressure.,Model downside scenarios and negotiate financing terms before liquidity conditions deteriorate.
1401,1326,-44,-165,4697,668,CRITICAL,CRITICAL_SOLVENCY_RISK,"The company presents a high probability of financial distress due to the combination of leverage, weak margins, and poor cash generation.","Prioritize creditor negotiations, liquidity protection, and a revised operating plan with strict milestones."
1487,1476,-44,43,961,1245,HIGH,OPERATING_LOSS,"The business is generating operating losses, making liquidity and cost discipline immediate priorities.",Rebuild the budget using conservative revenue assumptions and implement strict expense controls.
4516,5225,-241,-450,4358,1895,HIGH,COSTS_EXCEED_REVENUE,"Operating costs are consuming more than total sales, indicating a severe efficiency problem.",Freeze discretionary spending and build a recovery plan focused on cost ratio reduction.
5298,3828,1165,212,1346,1702,HIGH,WEAK_CASH_CONVERSION,"The company reports positive EBITDA, but cash generation is weak compared with operating earnings, which may indicate working capital pressure.","Review receivables collection, inventory turnover, and payment cycles to identify why accounting earnings are not converting into cash."
1175,738,333,413,1026,1453,LOW,STABLE_FINANCIAL_PROFILE,"Operating performance is consistent, with margins and cash flow indicating that the company can fund operations without immediate pressure.",Maintain cost controls and review investment opportunities only after confirming recurring cash flow strength.
5247,3221,1382,489,933,1333,MEDIUM,EARNINGS_QUALITY_CONCERN,"The company shows a mismatch between accounting profitability and cash performance, requiring deeper analytical review.","Build an earnings quality report comparing EBITDA, operating cash flow, and working capital movements over time."
3481,3005,-344,-72,3380,1858,HIGH,OPERATING_LOSS,"The business is generating operating losses, making liquidity and cost discipline immediate priorities.",Rebuild the budget using conservative revenue assumptions and implement strict expense controls.
5317,3086,1284,322,1507,2436,HIGH,WEAK_CASH_CONVERSION,"The business is profitable on an EBITDA basis, yet cash generation is not keeping pace with earnings.",Strengthen working capital controls and build a monthly cash conversion dashboard for management review.
4372,3061,844,-291,638,650,HIGH,EARNINGS_QUALITY_CONCERN,"The company shows a mismatch between accounting profitability and cash performance, requiring deeper analytical review.","Build an earnings quality report comparing EBITDA, operating cash flow, and working capital movements over time."
1601,1150,361,134,2920,2681,MEDIUM,WEAK_CASH_CONVERSION,"The business is profitable on an EBITDA basis, yet cash generation is not keeping pace with earnings.",Strengthen working capital controls and build a monthly cash conversion dashboard for management review.
2180,1365,541,128,1280,1585,HIGH,EARNINGS_QUALITY_CONCERN,The gap between EBITDA and cash flow raises concerns about earnings quality and the sustainability of reported performance.,"Reconcile EBITDA to operating cash flow and investigate recurring adjustments, working capital absorption, and non-cash effects."
4049,4382,-213,-408,2322,1512,CRITICAL,OPERATING_LOSS,Negative EBITDA suggests the company is not generating sufficient gross contribution to support its operating structure.,Conduct a profitability analysis by product or segment and discontinue activities with persistent negative contribution.
3057,2364,669,155,1106,935,HIGH,WEAK_CASH_CONVERSION,"Although operating profitability is positive, the low cash conversion suggests that earnings quality should be reviewed carefully.",Prepare a cash bridge analysis and prioritize actions that accelerate collections or reduce cash tied up in operations.
1833,1960,-226,-98,629,1176,CRITICAL,COSTS_EXCEED_REVENUE,The company faces a negative operating spread because expenses are higher than revenue.,Prioritize margin recovery through cost containment and revenue mix optimization.
5154,3233,749,472,2022,502,HIGH,HIGH_LEVERAGE_PRESSURE,High debt-to-equity creates a risk that operational volatility could quickly translate into solvency pressure.,Model downside scenarios and negotiate financing terms before liquidity conditions deteriorate.
3230,2390,569,-117,1193,729,HIGH,LIQUIDITY_STRESS,Low or negative cash flow creates pressure on the company’s ability to fund operations on a recurring basis.,"Focus on cash preservation, accelerate collections, and avoid commitments that increase short-term cash needs."
2720,1959,507,308,3955,773,CRITICAL,HIGH_LEVERAGE_PRESSURE,"Debt levels are high compared with the equity base, which may constrain financial flexibility even if operations remain profitable.","Review debt maturities, covenant exposure, and refinancing risk under conservative EBITDA assumptions."
1747,1278,243,-90,2980,1715,MEDIUM,LIQUIDITY_STRESS,Low or negative cash flow creates pressure on the company’s ability to fund operations on a recurring basis.,"Focus on cash preservation, accelerate collections, and avoid commitments that increase short-term cash needs."
2599,1649,766,871,971,1438,LOW,STABLE_FINANCIAL_PROFILE,"The business presents a stable financial structure, combining positive earnings, manageable leverage, and adequate cash generation.",Keep leverage within current limits and use periodic scenario analysis to validate resilience under lower revenue assumptions.
5403,3176,1018,266,1689,1367,MEDIUM,WEAK_CASH_CONVERSION,"EBITDA performance is acceptable, but limited cash flow reduces financial flexibility and could create liquidity constraints.",Monitor short-term cash needs and investigate whether customer payment delays or inventory buildup are affecting conversion.
2152,2264,-75,60,752,1393,HIGH,OPERATING_LOSS,"The company reports negative EBITDA, indicating that core operations are currently loss-making before financing and tax effects.","Review the business model, reduce fixed costs, and identify which revenue lines fail to cover operating expenses."
2913,2163,616,147,1811,2061,MEDIUM,EARNINGS_QUALITY_CONCERN,Profitability indicators should be interpreted cautiously because cash generation does not confirm the strength of reported earnings.,Validate whether EBITDA improvements are recurring and supported by actual cash inflows.
2141,2332,-65,40,666,352,CRITICAL,OPERATING_LOSS,"The business is generating operating losses, making liquidity and cost discipline immediate priorities.",Rebuild the budget using conservative revenue assumptions and implement strict expense controls.
4256,1951,744,644,351,2965,LOW,STABLE_FINANCIAL_PROFILE,"Revenue quality appears strong, costs are controlled, and cash conversion supports a low-risk financial position.",Continue tracking working capital efficiency and preserve the current balance between expansion and debt control.
4609,4654,-387,-382,2172,1540,CRITICAL,OPERATING_LOSS,"The company reports negative EBITDA, indicating that core operations are currently loss-making before financing and tax effects.","Review the business model, reduce fixed costs, and identify which revenue lines fail to cover operating expenses."
2540,3266,-105,-32,447,489,CRITICAL,COSTS_EXCEED_REVENUE,"Costs exceed revenue, meaning the company is structurally spending more than it generates from its operating activity.","Launch an immediate cost review, identify non-essential expenses, and redesign pricing or revenue generation assumptions."
1365,1106,124,-43,785,680,MEDIUM,EBITDA_POSITIVE_CASH_NEGATIVE,Positive EBITDA combined with negative cash flow points to a gap between reported operating performance and actual cash availability.,"Perform a cash flow reconciliation and identify whether receivables, inventory, or extraordinary payments are consuming cash."
4430,5124,-674,-609,2091,1096,CRITICAL,COSTS_EXCEED_REVENUE,"Operating costs are consuming more than total sales, indicating a severe efficiency problem.",Freeze discretionary spending and build a recovery plan focused on cost ratio reduction.
3723,2470,861,153,2252,1272,MEDIUM,EARNINGS_QUALITY_CONCERN,Profitability indicators should be interpreted cautiously because cash generation does not confirm the strength of reported earnings.,Validate whether EBITDA improvements are recurring and supported by actual cash inflows.
4845,3556,444,-99,703,610,HIGH,LIQUIDITY_STRESS,"Cash flow is materially weak relative to revenue, suggesting that the company may face short-term liquidity stress.",Create a 13-week cash forecast and identify immediate actions to improve inflows and delay non-critical outflows.
966,952,-71,-83,1908,1269,CRITICAL,OPERATING_LOSS,Negative EBITDA suggests the company is not generating sufficient gross contribution to support its operating structure.,Conduct a profitability analysis by product or segment and discontinue activities with persistent negative contribution.
4588,5361,-799,-273,2881,1435,CRITICAL,COSTS_EXCEED_REVENUE,"The cost base is above total revenue, creating an unsustainable operating structure unless corrective action is taken.","Implement a cost reduction program and reassess product margins, supplier contracts, and commercial pricing."
3691,2737,1029,181,4018,2498,MEDIUM,EARNINGS_QUALITY_CONCERN,The gap between EBITDA and cash flow raises concerns about earnings quality and the sustainability of reported performance.,"Reconcile EBITDA to operating cash flow and investigate recurring adjustments, working capital absorption, and non-cash effects."
3644,3497,-389,-367,1965,1336,MEDIUM,OPERATING_LOSS,"The business is generating operating losses, making liquidity and cost discipline immediate priorities.",Rebuild the budget using conservative revenue assumptions and implement strict expense controls.
1193,853,171,98,1460,271,CRITICAL,HIGH_LEVERAGE_PRESSURE,"The capital structure is under pressure, with leverage indicating a material dependence on external financing.",Reduce discretionary investments and prioritize debt reduction through retained cash flow or asset optimization.
1634,1648,-87,21,2382,1701,MEDIUM,OPERATING_LOSS,"The company reports negative EBITDA, indicating that core operations are currently loss-making before financing and tax effects.","Review the business model, reduce fixed costs, and identify which revenue lines fail to cover operating expenses."
4086,2134,791,966,1101,3440,LOW,STABLE_FINANCIAL_PROFILE,"Operating performance is consistent, with margins and cash flow indicating that the company can fund operations without immediate pressure.",Maintain cost controls and review investment opportunities only after confirming recurring cash flow strength.
1424,893,279,41,569,1402,MEDIUM,WEAK_CASH_CONVERSION,"Although operating profitability is positive, the low cash conversion suggests that earnings quality should be reviewed carefully.",Prepare a cash bridge analysis and prioritize actions that accelerate collections or reduce cash tied up in operations.
2435,1781,381,-118,1622,1539,HIGH,LIQUIDITY_STRESS,"The financial data points to liquidity stress, even if some operating indicators may still look acceptable.",Implement weekly liquidity reporting and define minimum cash thresholds for management action.
1452,1100,336,34,959,1474,HIGH,WEAK_CASH_CONVERSION,"Although operating profitability is positive, the low cash conversion suggests that earnings quality should be reviewed carefully.",Prepare a cash bridge analysis and prioritize actions that accelerate collections or reduce cash tied up in operations.
1303,720,384,34,1035,2303,HIGH,EARNINGS_QUALITY_CONCERN,The gap between EBITDA and cash flow raises concerns about earnings quality and the sustainability of reported performance.,"Reconcile EBITDA to operating cash flow and investigate recurring adjustments, working capital absorption, and non-cash effects."
2866,3010,-250,-334,2400,1834,HIGH,OPERATING_LOSS,Negative EBITDA suggests the company is not generating sufficient gross contribution to support its operating structure.,Conduct a profitability analysis by product or segment and discontinue activities with persistent negative contribution.
5259,4109,873,675,4442,959,HIGH,HIGH_LEVERAGE_PRESSURE,"The capital structure is under pressure, with leverage indicating a material dependence on external financing.",Reduce discretionary investments and prioritize debt reduction through retained cash flow or asset optimization.
4607,4708,-390,-325,4158,1897,CRITICAL,COSTS_EXCEED_REVENUE,"The cost base is above total revenue, creating an unsustainable operating structure unless corrective action is taken.","Implement a cost reduction program and reassess product margins, supplier contracts, and commercial pricing."
1379,991,214,-100,351,634,CRITICAL,EBITDA_POSITIVE_CASH_NEGATIVE,Positive EBITDA combined with negative cash flow points to a gap between reported operating performance and actual cash availability.,"Perform a cash flow reconciliation and identify whether receivables, inventory, or extraordinary payments are consuming cash."
1059,609,177,66,1082,1759,MEDIUM,WEAK_CASH_CONVERSION,"The company reports positive EBITDA, but cash generation is weak compared with operating earnings, which may indicate working capital pressure.","Review receivables collection, inventory turnover, and payment cycles to identify why accounting earnings are not converting into cash."
3390,2211,647,-130,1475,1498,MEDIUM,EARNINGS_QUALITY_CONCERN,Profitability indicators should be interpreted cautiously because cash generation does not confirm the strength of reported earnings.,Validate whether EBITDA improvements are recurring and supported by actual cash inflows.
1317,1007,152,124,2250,671,HIGH,HIGH_LEVERAGE_PRESSURE,"Debt levels are high compared with the equity base, which may constrain financial flexibility even if operations remain profitable.","Review debt maturities, covenant exposure, and refinancing risk under conservative EBITDA assumptions."
2939,2251,694,565,3923,1102,HIGH,HIGH_LEVERAGE_PRESSURE,"The capital structure is under pressure, with leverage indicating a material dependence on external financing.",Reduce discretionary investments and prioritize debt reduction through retained cash flow or asset optimization.
3234,1998,636,-380,1922,1639,MEDIUM,EBITDA_POSITIVE_CASH_NEGATIVE,"The company generates positive EBITDA but negative cash flow, suggesting that operating profit is not translating into liquidity.","Investigate working capital movements, capex timing, and debt service requirements to explain the cash drain."
3077,1761,902,749,482,1955,LOW,STABLE_FINANCIAL_PROFILE,"The business presents a stable financial structure, combining positive earnings, manageable leverage, and adequate cash generation.",Keep leverage within current limits and use periodic scenario analysis to validate resilience under lower revenue assumptions.
3632,2778,614,-154,1395,1061,MEDIUM,EBITDA_POSITIVE_CASH_NEGATIVE,"The company is producing operating earnings, but the negative cash flow profile raises concerns about earnings quality and funding needs.","Assess whether EBITDA is being absorbed by working capital, financing costs, or investment commitments."
3900,1837,806,857,998,1981,LOW,STABLE_FINANCIAL_PROFILE,"The company shows a solid operating profile, with healthy EBITDA generation and positive cash flow supporting day-to-day liquidity.","Maintain the current operating discipline, monitor margin stability, and consider moderate growth investment if cash generation remains consistent."
4262,2309,787,966,322,1878,LOW,STABLE_FINANCIAL_PROFILE,"Operating performance is consistent, with margins and cash flow indicating that the company can fund operations without immediate pressure.",Maintain cost controls and review investment opportunities only after confirming recurring cash flow strength.
5443,3548,940,-157,929,1483,HIGH,EBITDA_POSITIVE_CASH_NEGATIVE,Positive EBITDA combined with negative cash flow points to a gap between reported operating performance and actual cash availability.,"Perform a cash flow reconciliation and identify whether receivables, inventory, or extraordinary payments are consuming cash."
3208,3578,-200,-524,4078,666,CRITICAL,CRITICAL_SOLVENCY_RISK,"The company presents a high probability of financial distress due to the combination of leverage, weak margins, and poor cash generation.","Prioritize creditor negotiations, liquidity protection, and a revised operating plan with strict milestones."
4168,3246,852,180,2111,2619,MEDIUM,WEAK_CASH_CONVERSION,"Although operating profitability is positive, the low cash conversion suggests that earnings quality should be reviewed carefully.",Prepare a cash bridge analysis and prioritize actions that accelerate collections or reduce cash tied up in operations.
3050,3322,-359,-258,2801,2109,HIGH,COSTS_EXCEED_REVENUE,"Operating costs are consuming more than total sales, indicating a severe efficiency problem.",Freeze discretionary spending and build a recovery plan focused on cost ratio reduction.
5524,3458,1014,-68,4112,2390,MEDIUM,EARNINGS_QUALITY_CONCERN,Profitability indicators should be interpreted cautiously because cash generation does not confirm the strength of reported earnings.,Validate whether EBITDA improvements are recurring and supported by actual cash inflows.
2277,2222,-220,-138,2232,321,CRITICAL,CRITICAL_SOLVENCY_RISK,"The financial structure appears fragile, with debt pressure and weak earnings limiting the company’s capacity to absorb shocks.",Suspend non-essential investments and prepare a formal recovery plan focused on solvency stabilization.
4267,3927,-215,-670,4621,651,CRITICAL,CRITICAL_SOLVENCY_RISK,"The company presents a high probability of financial distress due to the combination of leverage, weak margins, and poor cash generation.","Prioritize creditor negotiations, liquidity protection, and a revised operating plan with strict milestones."
4626,3160,694,-224,2633,1650,MEDIUM,LIQUIDITY_STRESS,"Cash flow is materially weak relative to revenue, suggesting that the company may face short-term liquidity stress.",Create a 13-week cash forecast and identify immediate actions to improve inflows and delay non-critical outflows.
4309,2983,964,828,486,1066,LOW,STABLE_FINANCIAL_PROFILE,"The company shows a solid operating profile, with healthy EBITDA generation and positive cash flow supporting day-to-day liquidity.","Maintain the current operating discipline, monitor margin stability, and consider moderate growth investment if cash generation remains consistent."
3805,4731,-208,-602,1919,1532,HIGH,COSTS_EXCEED_REVENUE,The company faces a negative operating spread because expenses are higher than revenue.,Prioritize margin recovery through cost containment and revenue mix optimization.
4041,2783,1062,872,291,1071,LOW,STABLE_FINANCIAL_PROFILE,"The business presents a stable financial structure, combining positive earnings, manageable leverage, and adequate cash generation.",Keep leverage within current limits and use periodic scenario analysis to validate resilience under lower revenue assumptions.
1535,1093,48,-78,626,619,HIGH,LIQUIDITY_STRESS,"Cash flow is materially weak relative to revenue, suggesting that the company may face short-term liquidity stress.",Create a 13-week cash forecast and identify immediate actions to improve inflows and delay non-critical outflows.
2651,2087,547,-104,980,1952,CRITICAL,EBITDA_POSITIVE_CASH_NEGATIVE,"The business appears profitable before non-cash and financing effects, but current cash flow is negative and requires attention.",Introduce short-term liquidity monitoring and delay non-essential spending until cash generation normalizes.
1500,1063,226,-53,2686,1829,HIGH,EBITDA_POSITIVE_CASH_NEGATIVE,"The business appears profitable before non-cash and financing effects, but current cash flow is negative and requires attention.",Introduce short-term liquidity monitoring and delay non-essential spending until cash generation normalizes.
4720,4858,-814,-135,1959,401,CRITICAL,CRITICAL_SOLVENCY_RISK,Solvency risk is critical because leverage is excessive while earnings and cash generation do not sufficiently support the debt load.,"Engage lenders early, prepare a liquidity forecast, and evaluate recapitalization alternatives."
4815,4004,-380,73,3704,2125,CRITICAL,OPERATING_LOSS,Negative EBITDA suggests the company is not generating sufficient gross contribution to support its operating structure.,Conduct a profitability analysis by product or segment and discontinue activities with persistent negative contribution.
4627,3000,821,-589,1603,2393,CRITICAL,EBITDA_POSITIVE_CASH_NEGATIVE,Positive EBITDA combined with negative cash flow points to a gap between reported operating performance and actual cash availability.,"Perform a cash flow reconciliation and identify whether receivables, inventory, or extraordinary payments are consuming cash."
